"month","W_COMP_1","W_COMP_2","Q_COND_LOAD","Q_EVAP_LOAD","T_HP_1","T_HP_5","T_HP_6"
1,289.092,326.61,6000,5384.3,6,49.7586,30
1,299.751,340.4,6000,5359.85,6,51.5175,31
1,310.304,354.207,6000,5335.49,6,53.2714,32
1,320.753,368.031,6000,5311.22,6,55.0201,33
1,331.098,381.872,6000,5287.03,6,56.7639,34
1,341.34,395.73,6000,5262.93,6,58.5026,35
1,351.478,409.606,6000,5238.92,6,60.2362,36
1,361.515,423.5,6000,5214.98,6,61.9649,37
1,371.45,437.413,6000,5191.14,6,63.6887,38
1,381.284,451.345,6000,5167.37,6,65.4074,39
1,391.017,465.296,6000,5143.69,6,67.1213,40
1,400.651,479.268,6000,5120.08,6,68.8302,41
1,410.185,493.26,6000,5096.56,6,70.5342,42
1,419.62,507.273,6000,5073.11,6,72.2333,43
1,428.957,521.307,6000,5049.74,6,73.9276,44
1,438.197,535.364,6000,5026.44,6,75.617,45
2,266.687,301.297,5534.99,4967.01,6,49.7586,30
2,276.52,314.019,5534.99,4944.45,6,51.5175,31
2,286.255,326.756,5534.99,4921.98,6,53.2714,32
2,295.894,339.508,5534.99,4899.59,6,55.0201,33
2,305.438,352.276,5534.99,4877.28,6,56.7639,34
2,314.885,365.06,5534.99,4855.04,6,58.5026,35
2,324.238,377.861,5534.99,4832.89,6,60.2362,36
2,333.497,390.678,5534.99,4810.81,6,61.9649,37
2,342.662,403.513,5534.99,4788.82,6,63.6887,38
2,351.734,416.365,5534.99,4766.89,6,65.4074,39
2,360.713,429.235,5534.99,4745.04,6,67.1213,40
2,369.6,442.124,5534.99,4723.27,6,68.8302,41
2,378.395,455.031,5534.99,4701.56,6,70.5342,42
2,387.099,467.958,5534.99,4679.93,6,72.2333,43
2,395.712,480.905,5534.99,4658.37,6,73.9276,44
2,404.236,493.872,5534.99,4636.88,6,75.617,45
3,139.94,158.101,2904.4,2606.36,6,49.7586,30
3,145.099,164.776,2904.4,2594.52,6,51.5175,31
3,150.208,171.46,2904.4,2582.73,6,53.2714,32
3,155.266,178.152,2904.4,2570.98,6,55.0201,33
3,160.274,184.851,2904.4,2559.27,6,56.7639,34
3,165.231,191.56,2904.4,2547.61,6,58.5026,35
3,170.139,198.277,2904.4,2535.98,6,60.2362,36
3,174.997,205.002,2904.4,2524.4,6,61.9649,37
3,179.806,211.737,2904.4,2512.86,6,63.6887,38
3,184.567,218.481,2904.4,2501.35,6,65.4074,39
3,189.278,225.235,2904.4,2489.89,6,67.1213,40
3,193.942,231.998,2904.4,2478.46,6,68.8302,41
3,198.557,238.771,2904.4,2467.07,6,70.5342,42
